"","occupation","y1619","y2024","y2534","y3544","y4554","y5564","y65plus","medianage","totalemp","womenpct","whitepct","blackpct","asianpct","hispanicpct","totalempfull","medianwagefull","soccode","soctitle","isco","iscotitle","Title","description_1d","description_4d","mean_score","mean_exposure_level","SD","potential","plus55pct","mean_score100","highexposure"
"1","Chief executives",1,10,129,370,509,489,218,52.2,1728,33,86,6.1,6.4,6.1,1213,2924,"11-1011","Chief Executives",1112,"Senior government officials","Senior Government Officials","Managers","Senior government officials",0.32,"Low",0.16,"Other occupations",40.9617612977984,32,0
"2","Chief executives",1,10,129,370,509,489,218,52.2,1728,33,86,6.1,6.4,6.1,1213,2924,"11-1011","Chief Executives",1113,"Traditional chiefs and heads of villages","Traditional Chiefs and Heads of Villages","Managers","Traditional chiefs and heads of village",0.33,"Low",0.19,"Augmentation potential",40.9617612977984,33,0
"3","Chief executives",1,10,129,370,509,489,218,52.2,1728,33,86,6.1,6.4,6.1,1213,2924,"11-1011","Chief Executives",1120,"Managing directors and chief executives","Managing Directors and Chief Executives","Managers","Managing directors and chief executives",0.3,"Low",0.12,"Other occupations",40.9617612977984,30,0
"4","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1112,"Senior government officials","Senior Government Officials","Managers","Senior government officials",0.32,"Low",0.16,"Other occupations",22.6231783483692,32,0
"5","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1114,"Senior officials of special-interest organizations","Senior Officials of Special-interest Organizations","Managers","Senior officials of special-interest organizations",0.31,"Low",0.15,"Other occupations",22.6231783483692,31,0
"6","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1120,"Managing directors and chief executives","Managing Directors and Chief Executives","Managers","Managing directors and chief executives",0.3,"Low",0.12,"Other occupations",22.6231783483692,30,0
"7","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1343,"Aged care services managers","Aged Care Service Managers","Managers","Aged care services managers",0.25,"Very low",0.09,"Other occupations",22.6231783483692,25,0
"8","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1346,"Financial and insurance services branch managers","Financial and Insurance Services Branch managers","Managers","Financial and insurance services branch managers",0.41,"Low",0.19,"Other occupations",22.6231783483692,41,0
"9","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",1420,"Retail and wholesale trade managers","Retail and Wholesale Trade Managers","Managers","Retail and wholesale trade managers",0.44,"Low",0.24,"Other occupations",22.6231783483692,44,0
"10","General and operations managers",3,33,312,412,355,256,70,44.2,1440,33.8,80.1,9.8,5.3,12.3,1266,1650,"11-1021","General and Operations Managers",5221,"Shopkeepers","Shopkeepers","Service and sales workers","Shop keepers",0.61,"Medium",0.14,"Other occupations",22.6231783483692,61,1
"11","Legislators",0,1,2,4,2,3,3,NA,15,NA,NA,NA,NA,NA,15,NA,"11-1031","Legislators",1111,"Legislators","Legislators","Managers","Legislators",0.22,"Very low",0.07,"Other occupations",40,22,0
"12","Legislators",0,1,2,4,2,3,3,NA,15,NA,NA,NA,NA,NA,15,NA,"11-1031","Legislators",1113,"Traditional chiefs and heads of villages","Traditional Chiefs and Heads of Villages","Managers","Traditional chiefs and heads of village",0.33,"Low",0.19,"Augmentation potential",40,33,0
"13","Advertising and promotions managers",0,1,19,13,9,8,4,39.4,54,55.8,92,4.1,3.6,9.8,39,NA,"11-2011","Advertising and Promotions Managers",1222,"Advertising and public relations managers","Advertising and Public Relations Managers","Managers","Advertising and public relations managers",0.33,"Low",0.12,"Other occupations",22.2222222222222,33,0
